method,N,threads,time,max_number
PARALLEL,9000000,8,0.6883394,8400511
PARALLEL_CACHED,9000000,8,0.1370712,8400511
PARALLEL,9000000,16,0.601985,8400511
PARALLEL_CACHED,9000000,16,0.1260722,8400511
SEQUENTIAL,10000000,1,3.3577286,8400511
SEQUENTIAL_CACHED,10000000,1,0.4311796,8400511
PARALLEL,10000000,1,3.3280214,8400511
PARALLEL_CACHED,10000000,1,0.4624304,8400511
PARALLEL,10000000,2,1.8919944000000002,8400511
PARALLEL_CACHED,10000000,2,0.30575739999999996,8400511
PARALLEL,10000000,4,1.1560226,8400511
PARALLEL_CACHED,10000000,4,0.21347620000000003,8400511
PARALLEL,10000000,8,0.7626734,8400511
PARALLEL_CACHED,10000000,8,0.1538516,8400511
PARALLEL,10000000,16,0.6704602,8400511
PARALLEL_CACHED,10000000,16,0.1333572,8400511
